registry_id,category,calculator_class,parameter_mode,core_valid_placement,bundle_current_support,heldout_or_cv_effect,inference_row_effect,engine_optional_dependency,existing_relevant_test,concrete_missing_integration,h3_local_verification
AliasReplacement,Cleaning,AliasReplacementCalculator,fixed explicit columns and replacement/operation,validated fixed pre-split normalization or ordinary preprocessing,explicit fixed modes admitted; raw feature prefix saved; target-only normalization separated,same fixed operation on heldout,same rows; selected feature normalization applied once to raw inputs; no target required,pandas + Polars; base deps,skyulf-core/tests/integration/test_cleaning_alias.py,Narrow pre-split parameter contract only; other Core presets remain ordinary-only; numeric mapping object keys rejected with replacement-pairs alternative,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_pre_split_filters.py: 66 focused tests incl both engines, raw replay, normalized-target split, protected values, JSON collisions and target semantic guard"
Casting,Data Operations,CastingCalculator,explicit noncategorical columns+target_type or column_types,validated fixed pre-split normalization or ordinary preprocessing,explicit fixed modes admitted; raw feature prefix saved; target-only normalization separated,fixed cast on heldout,same rows; selected feature normalization applied once to raw inputs; no target required,pandas + Polars; base deps,skyulf-core/tests/integration/test_casting_text_inputs.py,Narrow pre-split parameter contract only; other Core presets remain ordinary-only; numeric mapping object keys rejected with replacement-pairs alternative,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_pre_split_filters.py: 66 focused tests incl both engines, raw replay, normalized-target split, protected values, JSON collisions and target semantic guard; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
Casting,Data Operations,CastingCalculator,category/categorical cast or auto columns,post-split/fold-local learned,ordinary yes; pre-split rejected,fitted vocabulary reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_casting_text_inputs.py,learned mode stays after split; recipe coverage,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
CorrelationThreshold,Feature Selection,CorrelationThresholdCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_feature_selection_common.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
CustomBinning,Preprocessing,CustomBinningCalculator,explicit columns and fixed operation,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,same fixed feature operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_bucketing.py,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
CustomBinning,Preprocessing,CustomBinningCalculator,auto/omitted column selection,post-split/fold-local learned selection,ordinary yes; pre-split rejected,training selection frozen,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_bucketing.py,keep auto mode after split,test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
DataSnapshot,Inspection,DataSnapshotCalculator,read-only inspection,inspection-only on authorized training frame,read-only recipe/artifact with training-only inspection state verified both engines,passes frame unchanged,same rows; avoid scoring inspection,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_inspection.py::test_data_snapshot_applier_is_passthrough,No separate MLflow inspection-report presentation claimed; saved model prediction path verified,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
DatasetProfile,Inspection,DatasetProfileCalculator,read-only inspection,inspection-only on authorized training frame,read-only recipe/artifact with training-only inspection state verified both engines,passes frame unchanged,same rows; avoid scoring inspection,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_inspection.py::test_dataset_profile_applier_is_passthrough,No separate MLflow inspection-report presentation claimed; saved model prediction path verified,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
DateFeatures,Preprocessing,DateFeaturesCalculator,standard mode; see Core params,post-split ordinary fixed,ordinary recipe; prior matrix reports local fit/save/load,fixed operation heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
Deduplicate,Data Operations,DeduplicateCalculator,subset omitted/explicit; keep first/last/none,explicit subset and keep in pre-split cleanup; ordinary Core behavior unchanged,deterministic pre-split survivors; conflicting target groups rejected; source keys remain unique,Core filters X/y by position,training eligibility only; prediction requests are not deduplicated,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_row_cleaning_accepts_engine_neutral_targets,Not a group-disjoint split; no implicit subset or source-key deduplication,"See cited existing Core tests; no new full Bundle execution claimed for this mode; test_databricks_custom_eligibility.py: both engines, explicit keep modes, conflicting targets, source keys and combined saved recipe; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
